id,name,info
1,뒤로 1칸,앗! 지갑을 두고왔네!?\nvalue칸 이동
2,뒤로 2칸,길이 사라졌다!\n여긴 대체 어디인가….\nvalue칸 이동
3,뒤로 3칸,고양이가 뒤로가기를 눌렀다\nvalue칸 이동
4,뒤로 4칸,이런! 핸드폰을 두고왔네!?\nvalue칸 이동
5,뒤로 5칸,누군가 길을 막고 서있다\nvalue칸 이동
6,앞으로 1칸,1칸쯤 더 가는건 아무도 모르겠지?\nvalue칸 이동
7,앞으로 2칸,멈출 떄를 놓쳤어!\nvalue칸 이동
8,앞으로 3칸,3칸이나 간다구 ???\nvalue칸 이동
9,앞으로 4칸,이정도면 사기치는거지!\nvalue칸 이동
10,앞으로 5칸,앗! 저 앞에 오아시스가 !!\nvalue칸 이동
11,오아시스 숙박권,무료는 일단 쓰고 보는거지\n당장 가자 !!
12,마을공동기금,촌장 : 마을을 위해서는 모두가 힘을 모아야지\n코인 value
13,강렬한 태양,모든 마이너스 블록이 value단계 강화됩니다
14,시원한 바람,모든 플러스 볼록이 value단계 강화됩니다
15,비구름,모든 플러스와 마이너스 블록의 강화 효과가 소멸합니다
16,선인장 도적단,모든 플레이어의 1번째 아이템이 사라집니다
17,야생 낙타 무리,야생 낙타 무리가 달려옵니다\n부딪히면 아파요…
18,선인장 도적,작고 귀여운 선인장이 나타났습니다\n지갑을 잘 챙기세요
19,1인 미니게임,value 코인이 걸린 미니게임을 수행합니다
20,아이템 박스,럭키박스에서 등장하는 아이템 중 1개가 지급됩니다
21,공공의 적,코인이 가장 많은 캐릭터에게서 value코인을 가져옵니다
22,불우이웃 돕기,코인이 가장 적은 캐릭터에게 value코인을 줍니다
